run_id,run_date,index_month,entity_name,entity_slug,platform,vertical,rank,score,chatgpt_score,perplexity_score,gemini_score,perplexity_vs_chatgpt_delta,trend,delta_rank,archetype,archetype_label
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Ahrefs,ahrefs,chatgpt,seo-marketing,1,100.0,100.0,90.91,89.47,-9.09,stable,,consensus_dominant,👑 Dominant Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Ahrefs,ahrefs,gemini,seo-marketing,2,89.47,100.0,90.91,89.47,-9.09,stable,,consensus_dominant,👑 Dominant Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Ahrefs,ahrefs,perplexity,seo-marketing,2,90.91,100.0,90.91,89.47,-9.09,stable,,consensus_dominant,👑 Dominant Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,ChatGPT,chatgpt,chatgpt,ai-llm-tools,1,100.0,100.0,100.0,100.0,0.0,stable,,consensus_dominant,👑 Dominant Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,ChatGPT,chatgpt,gemini,ai-llm-tools,1,100.0,100.0,100.0,100.0,0.0,stable,,consensus_dominant,👑 Dominant Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,ChatGPT,chatgpt,perplexity,ai-llm-tools,1,100.0,100.0,100.0,100.0,0.0,stable,,consensus_dominant,👑 Dominant Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Claude,claude,chatgpt,ai-llm-tools,6,16.67,16.67,88.89,43.48,72.22,stable,,retrieval_driven,🔍 Live Search Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Claude,claude,gemini,ai-llm-tools,4,43.48,16.67,88.89,43.48,72.22,stable,,retrieval_driven,🔍 Live Search Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Claude,claude,perplexity,ai-llm-tools,2,88.89,16.67,88.89,43.48,72.22,stable,,retrieval_driven,🔍 Live Search Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Clearscope,clearscope,gemini,seo-marketing,13,10.53,0.0,13.64,10.53,13.64,stable,,unclassified,—
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Clearscope,clearscope,perplexity,seo-marketing,7,13.64,0.0,13.64,10.53,13.64,stable,,unclassified,—
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Close CRM,close-crm,gemini,crm-sales,24,3.85,0.0,4.35,3.85,4.35,stable,,unclassified,—
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Close CRM,close-crm,perplexity,crm-sales,12,4.35,0.0,4.35,3.85,4.35,stable,,unclassified,—
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Copilot,copilot,chatgpt,ai-llm-tools,4,27.78,27.78,44.44,56.52,16.66,stable,,retrieval_driven,🔍 Live Search Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Copilot,copilot,gemini,ai-llm-tools,2,56.52,27.78,44.44,56.52,16.66,stable,,retrieval_driven,🔍 Live Search Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Copilot,copilot,perplexity,ai-llm-tools,3,44.44,27.78,44.44,56.52,16.66,stable,,retrieval_driven,🔍 Live Search Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Copy.ai,copy-ai,chatgpt,ai-llm-tools,3,33.33,33.33,22.22,13.04,-11.11,stable,,unclassified,—
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Copy.ai,copy-ai,gemini,ai-llm-tools,7,13.04,33.33,22.22,13.04,-11.11,stable,,unclassified,—
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Copy.ai,copy-ai,perplexity,ai-llm-tools,6,22.22,33.33,22.22,13.04,-11.11,stable,,unclassified,—
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Cursor,cursor,perplexity,ai-llm-tools,7,16.67,0.0,16.67,0.0,16.67,stable,,retrieval_driven,🔍 Live Search Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Freshsales,freshsales,chatgpt,crm-sales,5,18.52,18.52,4.35,7.69,-14.17,stable,,ghost,🫥 Fading Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Freshsales,freshsales,gemini,crm-sales,8,7.69,18.52,4.35,7.69,-14.17,stable,,ghost,🫥 Fading Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Freshsales,freshsales,perplexity,crm-sales,10,4.35,18.52,4.35,7.69,-14.17,stable,,ghost,🫥 Fading Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Gemini,gemini,gemini,ai-llm-tools,3,52.17,0.0,38.89,52.17,38.89,stable,,retrieval_driven,🔍 Live Search Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Gemini,gemini,perplexity,ai-llm-tools,4,38.89,0.0,38.89,52.17,38.89,stable,,retrieval_driven,🔍 Live Search Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Google Search Console,google-search-console,chatgpt,seo-marketing,4,39.13,39.13,68.18,73.68,29.05,stable,,retrieval_driven,🔍 Live Search Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Google Search Console,google-search-console,gemini,seo-marketing,3,73.68,39.13,68.18,73.68,29.05,stable,,retrieval_driven,🔍 Live Search Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Google Search Console,google-search-console,perplexity,seo-marketing,3,68.18,39.13,68.18,73.68,29.05,stable,,retrieval_driven,🔍 Live Search Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Grammarly,grammarly,chatgpt,ai-llm-tools,5,16.67,16.67,11.11,4.35,-5.56,stable,,unclassified,—
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Grammarly,grammarly,gemini,ai-llm-tools,11,4.35,16.67,11.11,4.35,-5.56,stable,,unclassified,—
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,Grammarly,grammarly,perplexity,ai-llm-tools,9,11.11,16.67,11.11,4.35,-5.56,stable,,unclassified,—
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,HubSpot,hubspot,chatgpt,crm-sales,2,74.07,74.07,60.87,65.38,-13.2,stable,,consensus_dominant,👑 Dominant Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,HubSpot,hubspot,gemini,crm-sales,2,65.38,74.07,60.87,65.38,-13.2,stable,,consensus_dominant,👑 Dominant Brand
c4fe67bc-4ae4-4836-9d48-7cbfe3fc3ead,2026-06-15 12:08:31.664130,2026-06,HubSpot,hubspot,perplexity,crm-sales,2,60.87,74.07,60.87,65.38,-13.2,stable,,consensus_dominant,👑 Dominant Brand
